strompreis,1000,950,900,850,800,750,700,650,600,550,500,450,400
0.24,62674.8911626,63047.7517517,63453.8456991,63902.0274506,64401.6611086,64952.4678669,65557.9789706,66240.3357253,66998.9795533,67859.938614,68845.5608164,69987.1407451,71321.2952536
0.25,65286.3449611,65674.741408,66097.7559366,66564.6119277,67085.0636548,67658.8206947,68289.5614277,69000.3497139,69790.6037013,70687.4360563,71714.1258504,72903.2716095,74293.0158892
0.26,67897.7987595,68301.7310644,68741.6661741,69227.1964048,69768.466201,70365.1735225,71021.1438848,71760.3637025,72582.2278494,73514.9334985,74582.6908844,75819.4024739,77264.7365248
0.27,70508.6322554,70928.7207207,71385.5764116,71889.7808819,72451.8687472,73071.5263533,73752.7263419,74520.377691,75373.8519974,76342.4309408,77451.2559184,78735.5333383,80236.4571603
0.28,72959.1136055,73438.6962649,73958.343763,74514.1194382,75116.9804713,75773.7616556,76484.3087993,77280.3916797,78165.4761455,79169.928383,80319.8209524,81651.6642027,83208.1777959
0.29,75091.8157997,75664.2483431,76275.6302856,76925.2389977,77619.9758488,78360.5708683,79157.4053168,80014.7741906,80954.1757831,81997.4258254,83188.3859864,84567.795067,86179.8984315
0.30,76900.095723,77595.6449536,78327.1117268,79094.1782437,79902.542837,80757.3125535,81656.3394782,82618.0301997,83658.5843849,84798.8611624,86056.9510205,87483.9259315,89151.619067
0.31,78415.5481933,79248.0191114,80113.9551716,81011.2444708,81955.6914802,82940.9598945,83967.7993965,85056.5375496,86231.2878332,87497.1698343,88889.7432949,90399.5356488,92123.3397026
0.32,79680.1781084,80620.8713651,81635.0833157,82683.427026,83771.2828394,84906.0156689,86083.2595226,87322.6572895,88658.6815703,90077.1300317,91609.3736237,93264.2143311,95095.0602275
0.33,80893.2235841,81868.960155,82947.7183724,84142.1534163,85397.8025847,86693.9498908,88040.4420353,89457.8130978,90953.4664689,92536.7727539,94228.4494678,96045.2782718,98041.2849319
0.34,82090.5302537,83096.8452934,84208.7878638,85465.1787339,86862.6593176,88343.1763435,89875.9367958,91479.820384,93149.3078978,94907.0663394,96772.420903,98760.1121392,100928.24032
0.35,83270.2277254,84312.7298831,85455.5889778,86756.250613,88222.2644209,89874.2494125,91604.5964302,93393.6921139,95243.7636006,97192.4569879,99236.7377434,101403.431678,103759.554442
0.36,84427.2833739,85507.8358613,86693.2546307,88031.6448664,89548.5760743,91290.7038552,93206.3542973,95191.0113069,97242.9521562,99385.8753737,101627.541785,103995.303086,106546.336653
