strompreis,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
0.24,62674.8911626,63047.7517517,63453.8456991,63902.0274506,64401.6611086,64952.4678669,65557.9789706,66240.3357253,66998.9795533,67859.938614,68845.5608164,69987.1407451,71321.2952536,72931.8938426,74974.5197586,77527.1795358,80881.9893017,85569.7632356,93426.6640813,106406.762557
0.27,70508.6322554,70928.7207207,71385.5764116,71889.7808819,72451.8687472,73071.5263533,73752.7263419,74520.377691,75373.8519974,76342.4309408,77451.2559184,78735.5333383,80236.4571603,82048.3805729,84346.3347285,87218.0769777,90992.2379645,96265.9836401,105104.997092,119707.607877
0.30,76900.095723,77595.6449536,78327.1117268,79094.1782437,79902.542837,80757.3125535,81656.3394782,82618.0301997,83658.5843849,84798.8611624,86056.9510205,87483.9259315,89151.619067,91164.8673033,93718.1496983,96908.9744197,101102.486627,106962.204045,116783.330102,133008.453196
0.33,80893.2235841,81868.960155,82947.7183724,84142.1534163,85397.8025847,86693.9498908,88040.4420353,89457.8130978,90953.4664689,92536.7727539,94228.4494678,96045.2782718,98041.2849319,100281.354034,103089.964668,106599.871862,111212.73529,117658.424449,128461.663112,146309.298516
0.36,84427.2833739,85507.8358613,86693.2546307,88031.6448664,89548.5760743,91290.7038552,93206.3542973,95191.0113069,97242.9521562,99385.8753737,101627.541785,103995.303086,106546.336653,109326.711577,112461.779638,116290.769304,121322.983953,128354.644853,140139.996122,159610.143836
