strompreis,1000,950,900,850,800,750,700,650,600,550,500,450
0.24,0.2399998896,0.2399999686,0.2400000216,0.2399999529,0.2399997805,0.2399998074,0.2400002159,0.239999912,0.2399999268,0.2400002073,0.2400000028,0.2400000711
0.27,0.2699975005,0.2699999647,0.2700000243,0.269999947,0.2699997531,0.2699997833,0.2700002429,0.2699999011,0.2699999176,0.2700002332,0.2700000032,0.27000008
0.30,0.2944722223,0.2953785319,0.2962548337,0.2970578526,0.2977654988,0.2983988152,0.2989344609,0.2993390623,0.2996770139,0.2999080853,0.3000000036,0.3000000889
0.33,0.3097630386,0.311645496,0.3137312479,0.3160167785,0.3182441808,0.3203347303,0.3223059256,0.3241207497,0.3258083248,0.3272747529,0.3284863668,0.3293586989
0.36,0.3232959533,0.3254973786,0.3278979036,0.3306247307,0.3337124887,0.3373197672,0.3412177359,0.3448930941,0.348338162,0.3514979704,0.3542800731,0.3566209431
