strompreis,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
0.24,0.477709,0.474602,0.471218,0.467483,0.463319,0.458729,0.453684,0.447997,0.441675,0.434501,0.426287,0.416774,0.405656,0.392234,0.375212,0.35394,0.325983,0.286919,0.221444,0.113277
0.27,0.481238,0.474602,0.471218,0.467483,0.463319,0.458729,0.453684,0.447997,0.441675,0.434501,0.426287,0.416774,0.405656,0.392234,0.375212,0.35394,0.325983,0.286919,0.221444,0.113277
0.30,0.669991,0.645398,0.616539,0.590429,0.567427,0.54208,0.518742,0.49694,0.473742,0.449808,0.426287,0.416774,0.405656,0.392234,0.375212,0.35394,0.325983,0.286919,0.221444,0.113277
0.33,0.759335,0.752877,0.745872,0.727445,0.695234,0.660195,0.619146,0.582276,0.549154,0.516407,0.482816,0.450533,0.417108,0.392234,0.375212,0.35394,0.325983,0.286919,0.221444,0.113277
0.36,0.770811,0.763346,0.753441,0.74624,0.736477,0.723909,0.690439,0.650437,0.607901,0.568838,0.528817,0.486538,0.44679,0.406256,0.375212,0.35394,0.325983,0.286919,0.221444,0.113277
