param,1
region_name,Tecklenburg
pv_field_MW,7.3
pv_roof_MW,19.9
pv_MW,27.3
wind_MW,24
biogas_GWh,46.3
annual_demand_GWh_orig,31.451
annual_demand_GWh,23.505
