param,1
region_name,Altenberge
pv_field_MW,9.3
pv_roof_MW,23.9
pv_MW,33.2
wind_MW,22
biogas_GWh,46.3
annual_demand_GWh_orig,43.714
annual_demand_GWh,32.669
