timestep,hh_1,hh_2,hh_3
226,597.11,533.98,1587.1
227,883.09,453.15,976.16
228,1360.1,1282.2,1231.1
229,1273.1,1270.1,2343.2
230,346.09,532.1,1140.2
231,197.24,548.06,1467.1
232,427.06,336.16,891.12
233,413.1,690.02,1086.2
234,506.11,664.06,1280.1
235,1121.2,653.02,1176.2
236,460.01,707.07,1283.3
237,438.26,448.12,1459.2
238,460.11,467.03,1508.1
239,242.1,461.09,850.11
240,175.15,671.11,748.19
241,208.28,428.13,640.16
242,168.06,218.1,729.03
243,190.04,224.02,715.18
244,169.07,221.11,705.04
245,152.06,226.17,644.07
246,426.1,220.31,717.15
247,606.2,245.02,496.06
248,225.18,240.31,316.17
249,181.13,391.26,250.11
250,177.99,440.02,223.24
251,1301.1,486.99,263.12
252,246.21,462.03,223.19
253,274.16,475.09,412.11
254,220.08,342.28,314.07
255,413.16,364.21,300.2
256,345.99,232.93,522.1
257,387.99,257.19,846.13
258,464.17,229.03,938.04
259,385.11,408.14,1182.1
260,421.05,658.16,875.07
261,428.14,574.06,794.12
262,392.08,519.1,1085.2
263,232.09,585.1,748.09
264,158.12,629.11,492.09
265,156.1,502.16,414.25
266,208.21,244.25,437.07
267,165.94,209.05,373.11
268,207,230.17,280.14
269,185.07,208.28,256.25
270,144.1,233.17,260.13
271,592.16,231.11,393.09
272,267.06,257.08,250.25
273,344.04,541.11,264.21
274,226.04,1520,231.29
275,151.16,376.09,267.32
276,207.05,406.04,231.23
277,864.13,389,265.21
278,216.08,392.29,231.29
279,472.2,599.08,352.05
280,188.15,437.02,248.06
281,304.09,479.05,246.15
282,642.07,400.07,252.05
283,427.14,341.05,231.09
284,408.21,535.18,280.14
285,400.15,811.16,504.05
286,430.15,2110.2,990.16
287,182.96,1831.6,855.09
288,208.01,1075.2,772.09
289,182.08,212.08,565.17
290,136.15,228.15,638.09
291,201.05,207.01,599.09
292,192.1,225.12,638.13
293,183.2,214.1,557.16
294,205.19,223.16,515.09
295,799.09,344.19,909.16
296,252.15,247.07,786.16
297,224.07,242.14,694.08
298,254.13,248.08,735.05
299,182.01,237.16,784.12
300,166.15,250.15,717.14
301,300.06,237.1,1161.1
302,314.1,254.06,710.17
303,225.08,235.22,705.1
304,205.18,247.03,808.2
305,394.21,230.01,720.11
306,549.01,248.09,688.02
307,483.28,231.11,803.04
308,481.13,257.1,984.13
309,653.18,233.1,968.12
310,394.07,773.15,1808.2
311,335.18,639.08,1467.1
312,265.13,669.14,650.1
313,205.19,457.06,768.09
314,206.21,268.99,748.08
315,169.21,214.07,682.07
316,180.26,228.1,700.17
317,160.2,211,664.05
318,345.19,230.07,643.1
319,679.03,1063.1,715.12
320,741.12,502.22,724.11
321,889.19,233,885.11
322,319.04,244.99,879.21
323,296.97,229.2,800.1
324,228.26,246.15,1287.2
325,386.1,236.11,630.11
326,170.21,244.08,736.11
327,277.25,242.95,646.12
328,221.1,246.15,665.14
329,310.14,244.2,475.13
330,443.96,267.16,671.05
331,505.1,435.18,704.1
332,494.01,553.07,584.06
333,448.11,590.12,739.03
334,390.17,571.14,698.18
335,287.07,668.18,507.03
336,199.1,485.01,458.05
337,183.12,450.05,356.21
338,212.15,201.11,382.13
339,182.11,228.07,357.17
340,171.99,199.97,257.07
341,177.33,227.07,263.24
342,276.06,203.13,271.08
343,440.2,478.11,456.18
344,509.1,316.04,300.13
345,252.16,247.16,240.3
346,176.1,220.1,256.04
347,191.01,245.2,236.08
348,586.12,217.03,263.16
349,360.99,245.21,284.13
350,297.99,221.28,389.08
351,413.08,249.25,338.26
352,275.05,225.09,499.13
353,369.15,251.04,582.2
354,1195.1,220.26,1124.3
355,516.14,248.1,625.13
356,420,224.01,974.17
357,418.95,248.12,601.13
358,385.32,218.16,602.03
359,375.1,247.09,718.08
360,215.1,194.18,327.95
361,155.01,223.17,265.04
362,169.95,198.99,302.17
363,180.17,227.1,430.05
364,194.06,198.98,326.03
365,206.09,225.14,283.22
366,160.1,202.07,283.09
367,227.23,247.14,271.21
368,260.07,225.04,288.18
369,510.06,249.18,492.21
370,231.1,219.07,938
371,516.16,249.13,935.15
372,769.06,540.11,289.16
373,608.11,853.11,1056.3
374,575.16,1320,465.11
375,705.21,672.23,435.2
376,770.09,342.18,304.13
377,662.09,418.14,261.11
378,1232.1,474.15,300.17
379,1404.1,658.17,248.97
380,1104.1,1105.1,311.33
381,410.98,1637.1,259.12
382,403.15,787.15,637.21
383,329.24,687.09,296.12
384,212.13,346.17,447.04
385,191.03,391.09,260.97
386,157.22,203.06,278.96
387,180.09,233.19,263.21
388,169.09,206.13,252.98
389,209.16,236.11,276.19
390,219.1,209.15,260.08
391,208.12,260.15,257.35
392,242.29,253.26,330.19
393,562.17,553.04,762.12
394,275.06,1575.3,264.3
395,1870.1,593.1,373.19
396,1173.1,3078.1,384.06
397,1046.3,975.15,2422.1
398,264.08,1422.2,984.16
399,278.11,353.07,625.15
400,416.04,679.03,1261.1
401,459.16,635.11,951.01
402,664.05,412.14,1205.2
403,658.05,336.06,2287.2
404,493.11,314.03,3088.1
405,432.1,332.09,858.14
406,452.12,308.06,800.15
407,326.1,338.1,414.05
408,176.13,276,700.12
409,201.06,316.15,520.07
410,159.02,286.06,486.1
411,212.07,320.19,460.88
412,219.14,292.4,304.16
413,180.16,311.17,284.17
414,402.04,311.3,201
415,453.09,311.13,547.12
416,486.25,343.07,282.17
417,248.25,318.12,276.05
418,183.05,348.1,212.15
419,286.27,315.12,265.12
420,373.22,349.11,259.22
421,203.06,313.12,557.18
422,266.15,342.1,390.19
423,313.13,326.14,325.98
424,360.13,323.24,304.17
425,376.33,338.21,363.16
426,497.18,304.12,478.09
427,416.13,338.27,575.1
428,402.97,529.06,762.15
429,423.26,566.1,723.14
430,378.09,633.13,751.07
431,333.19,618.17,490.14
432,203.08,342.98,401.08
433,132.18,236.14,482.01
434,187.03,205.06,585.08
435,199.12,238.18,473.14
436,178.13,212,471.07
437,202.08,220.16,302.04
438,198.05,228,310.01
439,509.22,227.08,450.09
440,269.08,918.33,309.09
441,321.07,602.09,290.3
442,289.2,329.23,279.98
443,418.25,273.83,290.21
444,465.12,305.09,286.12
445,363.11,276.05,268.26
446,361.1,309.09,248.02
447,1137.1,292.33,250.26
448,338.11,375.1,715.11
449,322.04,557.08,431.11
450,560.21,843.13,1489.1
451,426.22,897.09,1062.2
452,386.1,803.1,1101.2
453,379.14,755.11,559.12
454,409.15,860.25,837.24
455,282.15,516.12,457.23
456,213.26,517.09,453.06
457,154.18,488.96,438.99
458,163.05,322.99,432.19
459,215.24,289.27,335.17
460,171.25,295.02,276.19
461,212.13,306.25,247.08
462,248.18,285.18,282.1
463,423.15,330.18,415.08
464,449.03,334.17,346.93
465,257.1,409.1,244.08
466,185.19,710.18,263.08
467,175.19,490.02,249.06
468,149.02,360.18,265.13
469,355.3,340.11,334.99
470,643.09,786.2,403.92
471,474.07,476.06,329.13
472,320.23,510.06,380.05
473,326.26,589.13,438.16
474,602.09,414.14,413.08
475,471.21,326.14,702.08
476,443.1,301.21,748.09
477,396.2,554.22,700.16
478,403.08,847.14,587
479,333.03,467.05,323.06
480,317.07,327.33,259.2
481,216.13,432.97,267.19
482,196.13,218.17,245.05
483,197.14,247.13,284.17
484,171.06,223.2,270.19
485,218.11,247.1,321.07
486,296.17,225.18,231.19
487,604.08,262.02,299.06
488,693.02,292.1,295.1
489,468.22,674.09,485.02
490,223.95,668.15,492.98
491,215.06,326.2,583.08
492,205.16,324.02,645.19
493,284.13,356.11,325.03
494,381.19,1017.1,242.26
495,332.22,352.18,255.96
496,280.17,419.08,352.1
497,331.91,548.01,462.02
498,332.8,578.05,507.18
499,1110.3,1043.1,496.14
500,724.26,1631.1,685.13
501,382.1,470.13,695.08
502,452.04,662.15,766.14
503,251.14,387.17,427.14
504,197.11,282.21,370.11
505,220.96,231.07,379.32
506,173,213.1,458.08
507,188.16,229.07,314.17
508,231.14,222.12,284.13
509,188.97,223.14,224.15
510,260.15,226.18,290.14
511,567.09,232.29,361.16
512,454.15,249.26,300.21
513,258.02,352.11,220
514,216.89,555.01,320.21
515,661.09,381.18,265.2
516,771.12,459.11,288.06
517,254.1,1366.1,232.19
518,305.99,408.06,1537
519,262.2,962.07,479.13
520,246.16,377.12,515.97
521,418.14,665.08,397.16
522,454.09,956.19,628.15
523,544.03,2318,613.12
524,467.13,2022.3,676.07
525,368.27,1998.1,633.15
526,363.32,1315,770.12
527,379.1,503.08,729.15
528,308,523.13,535.97
529,208.12,398.21,309.34
530,152.08,247.09,345.23
531,165.01,202.11,345.18
532,208.14,227.13,295.1
533,174.94,204.06,274.24
534,200.08,232.22,235.17
535,227.07,228.03,258.07
536,231.04,270.12,240.02
537,413.05,692.95,508.39
538,267.98,370.08,1030.1
539,1056.1,433.14,299.13
540,404.11,2095.3,279.13
541,332.03,1586.2,2880
542,201.2,1694.1,486.14
543,384.11,440.99,513.06
544,326.12,323.29,1049.1
545,340.2,383.16,2288.1
546,671.13,526.17,1831.1
547,455.09,1091.1,1237.1
548,371.21,1456.1,1462.1
549,374.08,412.05,1140.1
550,387.25,367.13,1088.2
551,360.2,377.2,912.12
552,391.14,403.07,962.13
553,229.14,335.2,884.14
554,181.17,266.32,823.13
555,213.16,197.02,806.17
556,169.07,224.09,781.07
557,195,202.12,620.19
558,175.21,225.37,717.17
559,229.15,229.02,685.13
560,267.31,242.96,664.12
561,530.16,237.06,1072.1
562,177.12,1434.2,793.1
563,630.22,1339,1419.1
564,2068,1912.1,1359.2
565,2126.2,1090.1,1337.9
566,716.18,917.07,602.16
567,334.12,1244,552.08
568,354.15,535.14,691.05
569,326.28,457.94,658.13
570,683.02,781.05,820.16
571,762.13,592.12,697.14
572,573.16,564.25,902.05
573,503.03,499.1,933.1
574,466.17,354.02,770.08
575,202.21,396.21,498.21
576,167.97,348.25,475.03
577,214.95,232.17,345.09
578,201.12,216.99,377.11
579,180.19,198.12,373.11
580,179.06,209.07,408.07
581,161.99,201.08,260.1
582,226.07,189.11,269.11
583,628.12,315.07,454.11
584,317.09,277.08,292.2
585,208.02,244.17,251.17
586,375.09,217.27,261.15
587,228.23,232.3,253.25
588,312.95,229.02,260.2
589,536.11,226.07,271.12
590,296.2,243.21,324.98
591,290.21,223.11,421.07
592,351.1,245.15,683.26
593,318.1,220.13,1378.2
594,443.21,242.17,765.24
595,411,349.01,884.27
596,423.04,551.19,596.13
597,418.24,505.21,837.08
598,426.2,461.91,910.11
599,232.89,465.13,493.14
600,174.14,388.16,437.04
601,170.24,304.12,376.18
602,210.13,226.14,391.06
603,208.13,201.16,392.06
604,131,228.18,370.12
605,191.12,201.01,357.07
606,439.08,221.17,246.25
607,551.1,351.15,455.24
608,1430.2,297.02,252.16
609,562.13,234.03,267.07
610,224.19,234.03,233.1
611,214.13,238.17,267.08
612,277.02,233.08,231.12
613,423.94,242,267.08
614,315.98,229.1,243.09
615,330.11,245.04,1397.2
616,408,229.11,1386.2
617,292.97,252.05,1063.1
618,540.1,246.24,1311
619,433.1,248.27,1025.2
620,487.1,232.1,1143.1
621,554.13,446.28,1178.1
622,669.17,603.15,1369.1
623,211.06,593.17,891.05
624,231.25,313.04,981.02
625,230.18,216.2,827.08
626,189.13,205.06,871.18
627,190.31,224.21,809.18
628,194.31,207.06,879.14
629,205.17,233.11,761.09
630,256.02,203.26,760.13
631,576.01,275.25,922.03
632,357.13,458.16,793.17
633,237.22,249.24,691.95
634,315.21,222.09,802.13
635,210.14,689.11,759.94
636,168.04,416.05,730.17
637,547.02,474.11,752.08
638,219.02,566.06,849.12
639,187.07,245.05,654.17
640,213.03,217.2,1286.1
641,332.12,240.04,1012.2
642,399.09,213.04,1122
643,488.02,233.21,1074.1
644,508.14,215.2,779.17
645,378.13,238.06,983.34
646,392.07,312.28,1510.2
647,367.21,721.13,1056.2
648,246.97,416.04,757.23
649,181.06,326.02,846.03
650,138.05,187.21,652.15
651,214.08,216.12,684.1
652,170.16,197.01,679.18
653,210,223.01,742.19
654,176.08,195.23,633.05
655,216.25,452.22,669.1
656,481.97,213.29,670.12
657,312.23,236.05,817.15
658,190.15,218.14,910.14
659,179.13,221.26,856.13
660,409.08,229.02,1087.1
661,951.21,215.13,697.08
662,917.06,239.19,698.24
663,719.04,211.07,615.11
664,806.17,239.08,708.13
665,275.13,217.15,670.17
666,616.11,235.12,1086.1
667,408.16,215.08,1203.1
668,418.03,221.24,797.17
669,394.23,237.16,826.13
670,370.24,513.1,619.13
671,302.23,448.94,364.13
672,212.07,362.19,364.14
673,153.96,255.19,373.19
674,168.1,195.07,356.12
675,170.04,212.12,383.1
676,208.13,207.19,353.15
677,205.97,195.18,342.98
678,151.05,227.07,257.03
679,250.29,334.18,401.05
680,248.28,242.09,295.17
681,535.05,215.07,250.13
682,1119.2,234.13,242.1
683,158.11,220.09,237.19
684,1317.1,213.19,323.02
685,480.99,238.16,328.2
686,298.15,215.23,349.24
687,284.3,240.25,257.04
688,177.22,220.1,314.1
689,291.3,236.18,464.06
690,472.96,404.01,405.09
691,502.15,495.01,557.26
692,518.01,480.17,696.16
693,418.07,578.09,653.09
694,449.05,532.06,620.08
695,368.08,490.12,362.19
696,288.19,415.11,244.25
697,269.19,247.06,240.07
698,224.09,274.08,230.3
699,245.14,253.22,253.11
700,194.25,274.15,219.25
701,243.2,259.19,258.17
702,273.1,264.12,214.1
703,288.21,296.22,233.16
704,339.18,283.17,231.04
705,477.09,309.05,435.11
706,303.13,446.2,823.13
707,260.19,305,1767.2
708,218.16,412.13,291.13
709,228.18,307.33,1353.1
710,207.02,413.2,267.15
711,245.15,255.09,354.14
712,264.2,359.2,822.01
713,209.08,493.08,910.14
714,279.24,467.15,2574.1
715,300.23,498.09,688.14
716,553.08,568.07,535.16
717,444.1,521.1,753.21
718,343.93,640.2,763.03
719,366.21,539.02,740.09
720,242,1054.1,547.97
721,200.16,1315.1,833.17
722,170.99,285.11,340.11
723,150.93,229.19,431.13
724,213.06,201.15,347.21
725,196.1,224.15,228.36
726,171.14,211.09,250.17
727,239.98,246.17,182.98
728,232.2,241.13,271.23
729,582.07,938.07,556.19
730,294.03,376.06,782.26
731,792.11,337.1,354.15
732,682.01,2446.1,888.15
733,729.19,798.13,1151.1
734,216.25,454.04,278.19
735,175.12,466.03,380.02
736,332.19,294.12,361.1
737,474.21,442.03,472.1
738,636.12,542.09,503.16
739,435.11,760.11,636.04
740,399.19,716.11,700.11
741,422.18,531.2,659.17
742,372.09,469.88,627.08
743,215.14,602.09,349.13
744,156.06,407.16,365.25
745,176.09,337.19,366.17
746,211.98,274.05,347.31
747,184.01,303.97,336.02
748,171.94,272.97,294.27
749,167.1,293.18,260.16
750,291.19,271.17,252.11
751,425.04,1030.2,486.16
752,348.09,1531.2,261.01
753,462.23,323.1,275.25
754,1067.1,299.3,231.12
755,265.01,321.03,263.09
756,240.26,294.16,260.14
757,239.17,319.2,321.1
758,365.07,297.16,255.09
759,319.08,329.27,247.07
760,230.08,298.16,668.19
761,331.08,323.25,1533
762,552.95,286.08,1089.1
763,432.15,316.12,701.2
764,437.18,595.12,608.13
765,415,613.13,709.1
766,404.16,406.98,707.11
767,155.2,347.21,438.03
768,208.16,199.16,305.18
769,181.06,216.25,340.07
770,181.2,190.13,460.26
771,159.16,222.05,346.35
772,164.11,194.09,265.09
773,197.05,221.19,255.09
774,333.13,193.06,302.17
775,356.16,434.19,468.19
776,305.09,210.07,321.94
777,422.07,241.2,244.24
778,266.21,212.15,296.01
779,249.18,230.03,236.1
780,267.02,216.15,296.16
781,1154,232.08,232.19
782,329.1,225.12,297.3
783,212.94,227.08,228.34
784,222.09,233.09,291.01
785,264.09,222.06,391.25
786,808.12,233.05,577.04
787,428.13,214.97,472.07
788,446.11,383.1,589.06
789,418.13,446.18,520.05
790,371.21,442.12,551.13
791,251.2,357.04,597.18
792,193.01,354.97,413.06
793,208.18,199.97,443.06
794,233.15,233.07,382.15
795,199.02,204.09,382.03
796,193.14,231.13,257.14
797,191.16,204.11,252.1
798,341.18,229.1,268.08
799,509.13,469.24,363.19
800,266.08,261.04,265.19
801,190.11,229.17,238.02
802,291.21,253.07,284.35
803,177.88,226.06,232.04
804,237.12,257.01,257.96
805,255.23,229.01,515.22
806,879.16,249.13,297.18
807,527.16,229.01,228.14
808,265.28,253.07,320.15
809,215.04,234.99,371.26
810,418.08,247.09,544.12
811,467.03,300.35,736.1
812,438.16,433.26,475.12
813,410.25,427.29,850.14
814,365.21,479.21,615.07
815,325.14,423.1,498.17
816,297.24,391.02,391.16
817,185.13,204,344.11
818,204.14,224.38,619.06
819,146.04,209.2,392.23
820,160.04,225.11,370.07
821,202.13,210.17,236.32
822,194.08,219.21,283.3
823,577.13,232.05,248.14
824,405.05,283.05,373.3
825,195.22,685.07,351.31
826,244.1,309.03,559.97
827,209.12,259.45,466.18
828,133.1,261.19,839.26
829,198.07,265.33,319.05
830,766.15,313.19,265.08
831,260.05,382.11,361.27
832,366.26,359.12,276.03
833,204.12,320.17,361.14
834,333.22,422.1,566.14
835,429.14,546.04,670.96
836,280.12,639.07,736.17
837,282.14,682.13,805.12
838,271.23,582.07,697.12
839,246.25,551.09,450.99
840,255.16,296.96,370.03
841,203.2,214.07,347.21
842,199.21,207.12,539.1
843,254.31,221.99,289.35
844,215.1,207.21,281.22
845,247.21,223.04,247.12
846,225.09,201.06,279.17
847,256.11,425.11,385.13
848,314.16,218.29,287.08
849,248.12,247.21,256.11
850,198.25,219.11,241.03
851,228.04,248.02,259.17
852,241.12,219.24,246.09
853,309.23,246.13,265.19
854,229.27,219.24,242.09
855,189.28,247.35,266.08
856,259.17,223.11,752.19
857,218.06,525.11,1173.2
858,293.04,454.04,378.98
859,266.17,603.15,460.11
860,275.16,1697.2,941.11
861,314.05,1283,771.15
862,283.08,521.11,646.05
863,223.06,502.02,726.18
864,227.27,490.01,468.2
865,216.27,225.14,500.02
866,253.16,214.13,386.24
867,219.26,235.03,297.95
868,184.12,209.2,304.12
869,251.18,229.06,280.07
870,248.21,205.11,250.19
871,286.13,255.12,242.14
872,264.27,233.07,359.07
873,218.08,444.25,394.29
874,241.21,812.32,580.18
875,247.26,1796.1,1099.2
876,173.28,660.25,459.02
877,222.19,400.97,1005.1
878,244.96,391.07,858.09
879,214.21,495.03,711.21
880,214.11,623.17,2475.1
881,203.29,1402.1,646.11
882,266.08,726.13,1164.1
883,302.1,975.08,966.25
884,263.1,1687.1,709.11
885,252.11,1100.1,812.07
886,303.2,604.12,844.17
887,229.09,474.11,632.99
888,241.11,279.18,421.24
889,196.13,219,335.26
890,201.17,201.03,328.23
891,243.07,229.06,358.17
892,213.09,213.04,334.09
893,208.17,220.06,272.37
894,227.1,222.21,273.25
895,275.13,236.05,260.14
896,302.05,253.12,266.09
897,212.1,1169.1,674.22
898,189.03,444.34,359.94
899,240.19,310.18,1244.1
900,213.05,1904.1,1089.2
901,232.05,1032.1,796.26
902,183.12,436.07,308.15
903,215.14,495.02,291.22
904,253.13,691.09,290.3
905,403.16,706.27,294.19
906,396.18,706.19,420.13
907,431.04,588.05,945.13
908,423.04,513.2,804.15
909,434.19,547.03,1723
910,257.24,547.1,1258.2
911,174.03,594.13,390.19
912,198.05,412.1,361.21
913,168.12,1557,455.98
914,196.01,217.09,404.11
915,135.09,204.06,531
916,170.06,222.15,373.2
917,199.11,194.12,300.12
918,364.95,222.04,236.21
919,376.05,459.14,445.01
920,487.02,241.07,268.18
921,698.13,224.11,254.06
922,834.16,233.16,237.2
923,654.08,237.13,246.13
924,569.08,224.26,238.2
925,245.24,248.17,212.11
926,177.19,219.29,243.1
927,230.13,246.15,205.1
928,300.11,220.23,382.26
929,348.06,245.15,313.19
930,451.99,212.33,274.2
931,580.14,335.31,222.05
932,436.16,385.14,753.14
933,366.26,517.04,594.99
934,417.04,436.08,589.05
935,217.07,415.1,320.21
936,152.97,413.09,273.24
937,164.08,194.12,226.13
938,170.15,218,248.24
939,205.24,197.17,253.21
940,188.08,223.1,230.02
941,125.22,199.14,232.03
942,403.12,222.14,233.96
943,336.2,375.19,359.24
944,522.99,333.29,242.24
945,224.09,224.05,246.12
946,340.17,246,204.27
947,247.12,225.99,294.16
948,207.93,236.13,195.09
949,675.15,232.02,258.15
950,1172.1,230.26,191.18
951,190.11,236.12,246.1
952,256.07,230.29,580.24
953,309.26,240.14,792.1
954,391.05,223.24,902.11
955,465.97,245.14,1109.1
956,668.17,226.02,1019.2
957,551.02,246.21,1025.2
958,338.11,305.27,1081.3
959,360.03,590.04,989.09
960,315.2,352.25,775.17
961,176.99,285.05,804.15
962,163.2,202.17,829.09
963,147.05,222.94,688.1
964,206.2,197.07,651.25
965,201.11,222.09,606.19
966,158.06,193.15,620.14
967,515.12,458.96,862.17
968,263.12,404.02,748.1
969,310.15,328.26,620.08
970,381.17,300.19,678.16
971,148.01,259.1,563.11
972,212.08,621.2,609.19
973,185.18,384.19,640.1
974,213.19,566.08,637.07
975,357.32,247.11,567.12
976,242.09,227.06,668.21
977,414.2,253.09,698.1
978,459.17,231.23,833.15
979,491.07,267.28,862.06
980,210.08,237.15,690.25
981,263,311.04,631.15
982,282.36,481.99,634.14
983,283.24,526.19,460.11
984,249.11,378.2,352.08
985,129.06,250.09,300.29
986,208.08,215.2,335.15
987,180.18,193.17,255.04
988,179.3,214.01,238.27
989,158.22,193.07,229.06
990,382.13,215.07,241.18
991,364.13,415.04,265.08
