timestep,hh_1,hh_2,hh_3
223,74.184,362.2,90.024
224,53.481,384.03,130.03
225,199.92,359.26,120.12
226,114.32,484,109.99
227,51.461,483.06,1010.2
228,44.694,341.15,1010.2
229,43.738,442.19,2070
230,51.635,694.05,1240
231,56.748,705.05,1240.2
232,304.05,674.15,820.14
233,454.11,924.16,890.11
234,157.05,1153.2,2590.2
235,267.12,1263,1100.1
236,514.06,1673.1,2810.1
237,425.17,1997.2,780.22
238,481.1,1147.1,1060.1
239,202.34,1224.1,490.24
240,56.748,1274.1,310.15
241,57.608,1003.2,120.12
242,73.197,689.1,109.99
243,51.461,358.26,80.294
244,53.481,358.19,90.28
245,65.731,359.2,70.565
246,187.44,378.09,440.04
247,336.4,598.14,1520.2
248,55.654,600.15,460.13
249,52.539,307.14,980.15
250,44.694,298.23,490.25
251,55.654,289.13,90.024
252,54.56,284.02,90.024
253,43.847,289.04,130.24
254,49.611,1103,80.039
255,287.08,808.09,130.24
256,108.04,314.26,150.04
257,366.01,384.05,580.13
258,286.33,832.05,900.21
259,51.635,906.11,940.15
260,44.662,667.01,1220.2
261,53.481,389.97,860.14
262,186.4,376.09,1240.2
263,334.21,381.04,640.32
264,208.03,357.22,370.13
265,54.56,778.06,380.09
266,55.654,848.14,300.29
267,53.633,416.06,109.99
268,55.36,415.09,70.565
269,42.891,414.14,100.01
270,46.686,428.13,609.96
271,262.08,624.14,1460.2
272,190.34,589.09,80.55
273,54.56,317.21,739.96
274,55.654,289.02,410.06
275,47.59,294.03,1240.3
276,48.532,292.05,420.05
277,54.56,299.98,950.17
278,54.56,305.02,979.97
279,49.488,299.12,460.33
280,42.891,318.19,390.04
281,53.481,356.28,390.06
282,52.73,371.02,540.12
283,47.609,819.15,1780.1
284,325.39,850.27,1990.2
285,462.12,769.1,2710.2
286,420.23,844.07,700.17
287,425.18,1028,350.05
288,111.25,781.12,330.11
289,47.642,895.12,290.1
290,49.615,739.1,380.06
291,46.574,510.21,150.44
292,61.45,300.25,100.4
293,45.618,331.14,50.85
294,65.158,391.03,640.09
295,49.615,414.04,1630.1
296,328.01,686.11,110.13
297,1180.1,319.13,600.12
298,614.08,300.15,140.37
299,69.58,304.04,1099.9
300,54.56,299.11,610.02
301,52.539,301.12,880.08
302,49.615,298.13,470.03
303,48.711,292.21,470.14
304,51.461,311.16,400.42
305,579.17,352.15,590.08
306,422.95,936.2,450
307,368.11,860.08,630.1
308,374.16,831.12,1570.1
309,394.17,1738.1,1860.2
310,209.08,1349.1,1610.1
311,44.694,1094.2,660.06
312,50.519,1111.2,600.13
313,52.403,964.14,369.96
314,61.537,942.17,370.2
315,53.481,1661.1,210.15
316,55.654,374.09,140.37
317,60.602,354.05,80.039
318,217.39,349.12,780.2
319,250.5,391.04,1090.2
320,51.461,682.01,70.309
321,45.763,348.16,840.11
322,47.59,316.1,1670
323,55.654,310.03,580.27
324,54.56,302.19,1160
325,45.819,298.07,1060.2
326,46.667,312.26,760.02
327,54.56,311.07,410.23
328,50.567,338.22,460.26
329,205.11,361.09,420.05
330,438.09,1113.2,510.23
331,755.09,938.14,740.04
332,725.1,1116.1,1910.1
333,804.08,1306.1,1540.1
334,284.26,1728,980.08
335,164.05,3208,2230.1
336,47.642,2051.1,490.07
337,51.461,1154.2,239.95
338,55.654,966.05,70.565
339,76.555,452.24,120.1
