timestep,hh_1,hh_2,hh_3
207,4618,755.15,1227.1
208,4460.2,1018.3,1839.1
209,4287.9,1377.1,1126.2
210,4084.2,952.12,1458.1
211,3535.8,1531.2,2855
212,2481.2,1602.2,2106.1
213,2406.1,2264.1,1437.2
214,2421.1,1623.2,1423.2
215,1238.1,400.06,1385.1
216,1117.2,200.08,1551.1
217,1079.1,203.15,1118.1
218,674.15,178.08,1459.2
219,700.15,195.14,1678
220,647.15,216.2,991.1
221,821.02,187.11,1131.1
222,936.06,222.95,756.13
223,2268.2,529.13,1938.1
224,1789.1,2189.1,1305.1
225,2942.1,722.11,933.18
226,3181.1,459.17,1079.2
227,3164,697.2,1570.1
228,3434.2,770.19,3363.1
229,2971.1,1034.2,1447.2
230,3453.1,780.13,2394.2
231,3780.1,954.08,2498.2
232,3320.1,703.1,1676.1
233,3914.1,600.15,1400.1
234,2919.2,751.21,1345.1
235,2256.2,699.22,1455.2
236,2551.1,919.15,1524.1
237,2551.1,1156.1,1521.1
238,1921.1,822.07,1340.4
239,1089.1,376.16,1285.1
240,853.14,226.15,1644.1
241,191.1,195.1,1109.1
242,210.07,208.28,1427.1
243,306.03,198,1596.1
244,271,197.15,1037.1
245,516.11,210.1,1200.1
246,392.03,1109.3,994.13
247,1812.1,1557.1,1767.3
248,1711.1,497.14,1064.1
249,3473.2,316.19,895.12
250,2853.1,261.08,1172.2
251,2321,317.18,1100.2
252,2074.1,376.08,2006.2
253,2585.2,474.07,1010.1
254,4947.4,481.22,1614.1
255,4145.3,1380.1,1138.1
256,3817.1,533.13,1748.1
257,1982.1,519.14,1241.1
258,2046.1,672.07,1742.1
259,3251.1,1027.2,1535.2
260,2849.2,1342.1,1285.2
261,1615,1105.1,1284.1
262,1709.1,238.09,1240.1
263,1599.1,191.21,1305
264,1327.2,197.13,1691.2
265,1227.1,196.21,1118.1
266,205.25,201.27,1436.1
267,433.02,182.09,1585.1
268,434.21,189.23,1044.1
269,642.01,211.21,1307.2
270,541.24,818.21,936.09
271,1661.2,1512.1,1666.3
272,1417.1,343.14,789.29
273,2290,276.3,723.19
274,2947.1,276.16,469.11
275,1939.2,243.24,651.11
276,1585.2,254.16,1698.1
277,1578.1,254.1,836.27
278,2523.2,412.46,1241.2
279,2352.1,1177.1,683.05
280,2437.2,544.09,1019.2
281,2694.1,545.14,609.17
282,1897,710.08,855.19
283,2770,1135.2,984.12
284,2310.1,1046.2,2081.2
285,2122.1,853.07,1575.1
286,2174.1,422.17,1481.1
287,1088.2,225.09,1403.1
288,1038.1,185.16,1815.1
289,257.07,208.06,1027.1
290,179.96,187.01,1303
291,432.18,195.13,1526.1
292,254.1,196.07,874.99
293,442.1,190.2,1024.1
294,619.11,849.04,1137.2
295,1792.1,1468.1,1735.1
296,1366,398.16,844.16
297,2751.1,312.93,954.12
298,2660.1,307.13,851.12
299,1457.1,280.03,764.1
300,1323.3,283.17,1720.1
301,1340.1,322.18,820.15
302,1385.3,447.23,1511.1
303,2843.1,1205.2,1001.1
304,2602.1,471.18,1478.1
305,4120.4,616.07,1094.1
306,3388.1,781.13,1398.1
307,2265.1,980.31,1606.2
308,2097,1217.1,1485.2
309,1806.1,757.11,1480.1
310,1821.1,459.08,1413.2
311,988.11,245.2,955.05
312,695.13,193.17,1564.1
313,247.09,213.21,1324.1
314,203.11,196.27,1516.1
315,233.04,215.16,1759.1
316,266.03,185.1,999.08
317,365.01,223.04,1435.2
318,308.97,1045.1,1123.2
319,1630.1,1564.2,1867.2
320,1705.1,428.11,878.04
321,2849.1,286.13,761.3
322,2681,266.23,789.16
323,1994.2,241.03,873.07
324,1302.1,268.94,1806.2
325,1389.1,239.07,765.18
326,1747.1,530.29,1398.2
327,1470.1,1227.1,1012.1
328,2730.1,578.12,1527.2
329,1865.1,616.2,1124
330,1821.1,1119.1,2052.2
331,1596.2,1118.2,1412.1
332,3796,954.05,1454.1
333,2155.1,1287.2,1572.2
334,1769.1,485.09,2356.2
335,1222.1,205.25,2577.1
336,771.01,208.11,1449.1
337,291.24,177.17,1112.1
338,224.12,192.27,1454.2
339,207.25,177.17,1742.1
340,318.04,201.17,918.13
341,170.2,204.26,1181.1
342,279.11,870.14,1012.1
343,1632.1,1548.1,1719
344,1415.1,381.09,792.13
345,2376.1,283.2,725.17
346,1661.1,259.1,694.14
347,3238.9,267.15,521.14
348,3738.1,261.18,1630.1
349,2698.1,230.21,840.22
350,2020.1,573.11,1298.1
351,3541.2,1352.1,933.14
352,4053.2,641.16,2399.1
353,3816.1,651.88,2287.1
354,2831.2,698.12,1768.1
355,2416.2,1708.1,1461.1
356,2144.2,1709.1,1165.2
357,2035,1503.1,1092.1
358,2267.1,940.04,1144
359,1063.2,630.1,1224.3
360,543.13,499.18,1802.1
361,251.31,508.04,1124.1
362,181.01,523.13,1186.2
363,194.15,491.1,1435.1
364,205.2,540.08,658.07
365,179.16,488.17,1006.2
366,179.12,527.14,708.06
367,1616.1,538.13,1595.2
368,1322.2,1690.1,855.06
369,1380.1,848.12,960.09
370,2174.2,1212.2,826.12
371,1663.1,1021.1,1315.1
372,2377.1,997.2,2482.2
373,2552.1,1561,1972.2
374,1364.2,2309.1,1450.1
375,2388.1,1300.2,911.16
376,3359.1,448.1,1484.1
377,1838.1,472.05,1181.2
378,2896.1,647.13,2533
379,2033.2,505.17,1669.1
380,2992.2,1120.2,1265.1
381,2574.2,845.1,1436.1
382,1985.1,553.11,1376.1
383,908.16,176.1,1278.1
384,1058,200.26,1807.1
385,778.25,207.03,1204.2
386,182.05,170.98,1479.1
387,244.34,193.01,1671.1
388,186.18,201,910.11
389,171.08,176.16,1132.1
390,212,203.08,732.19
391,1593.1,234.16,1907.1
392,1296.1,1539.1,1101.1
393,1832.1,1123.1,1065.1
394,3154.1,2053.2,2358.1
395,2696.3,2241.3,3769.2
396,1948.1,3144.2,3779.2
397,2336.1,1112.1,2982.1
398,4140.1,1261,2761.2
399,4171.1,706.05,2122.1
400,2601.1,1245.2,1628.1
401,2592.2,3819.2,1758.2
402,1894.1,1400.2,1722.1
403,1864.1,2277.1,1601.1
404,1887.3,921.12,1367.1
405,1954.1,883.04,1304.1
406,1855.2,618.06,1339.1
407,1321.2,275.13,1185.3
408,1077.2,185.25,1405.2
409,849.08,192.15,930.15
410,511.2,183.15,1221.1
411,425.97,199.02,1557.1
412,945.14,186.1,865.13
413,495.09,190.28,980.07
414,826.07,687.03,844.09
415,1792.1,1397.3,1558.2
416,2015.1,439.18,836.14
417,1437.1,281.16,743.21
418,3249.2,250.04,672.03
419,2229.2,264.12,555.08
420,3416,232.01,1591.1
421,1892.1,240.22,764.06
422,2006.1,393.08,1604.1
423,1943.1,1286.2,886.16
424,4200.1,527.12,1663.1
425,3238.1,685.04,1112.1
426,2169.2,603.13,926.16
427,2613.2,1074.2,1218.1
428,2021.1,1500.3,1382.1
429,2282.1,887.2,1610.1
430,1900.1,417.07,1637.1
431,1137.1,217.14,1399.1
432,702.05,214.06,1404.1
433,210.15,187.19,997.16
434,279.11,201.1,1382.1
435,183.05,221.11,1583
436,172.3,202.08,798.17
437,209.25,215.11,1189.1
438,172.3,864.17,751.16
439,1644.2,1544.1,1733.1
440,1278.1,371.09,859.02
441,1295.1,281.19,867.07
442,1528.1,259.31,780.19
443,3035.2,253.15,898.05
444,2705.1,238.2,1844.2
445,1599.1,251.21,777.14
446,1545.1,481.07,1213.1
447,1378.1,1151.2,842.13
448,1280.1,435.07,1634.1
449,1512.1,621.11,1345.1
450,1751.1,1993.1,2255.1
451,2261.1,1643.2,1280.1
452,3268.1,1227.3,1402.1
453,1844.1,680.13,1387.2
454,1707.1,489.19,1325.1
455,838.18,293.06,821.12
456,596.1,182.15,1374.1
457,621.12,192.07,1107.2
458,425.02,192.19,1560.1
459,552.23,190.1,1692.1
460,457.1,177.03,914.17
