timestep,hh_1,hh_2,hh_3
220,110.13,151.25,892.19
221,190.17,157.06,870.12
222,120.12,223.08,1070.2
223,180.04,172.01,969.08
224,190.34,214.25,992.05
225,500.08,1455.2,1021.1
226,279.96,1003,1398.1
227,160.16,651.12,879.11
228,3390.1,614.27,820.17
229,2870.1,679.21,825.05
230,2740.1,371.06,825.11
231,570.12,403.23,802.1
232,580.18,2794.1,1375.1
233,349.98,2294.1,2224.1
234,599.92,427.12,2031.1
235,460.2,400.04,1657.2
236,460.2,269.23,2679.3
237,260.08,263.21,1487
238,330.2,311.04,784.11
239,120.26,371.02,407.02
240,170.29,186.18,594.12
241,130.22,168.13,639.04
242,170.44,146.04,603.17
243,140.21,210.96,1047.1
244,160.32,151.01,679.11
245,140.01,180.23,1277.3
246,150.17,198.14,1065.1
247,1980.3,1810.1,1032.2
248,280.06,858.21,496.1
249,170.25,486.21,399.25
250,140.07,233.17,528.26
251,150.33,328.08,1475.1
252,130.08,280.11,1450.1
253,170.29,217.13,643.16
254,120.1,395.32,1964.1
255,200.39,423.11,929.1
256,120.1,390.02,955.06
257,530.17,693.09,986.05
258,490.13,449.09,2991.1
259,610.22,399.13,1957.2
260,830.09,371.11,777.22
261,400.05,311.23,700.11
262,310.09,313.12,455.13
263,160.05,152.19,400.17
264,150.19,153.19,601.15
265,140.19,185.14,468.98
266,150.33,155.03,559.14
267,150.14,170.95,680.13
268,150.35,150.97,951.03
269,140.07,162.16,884.15
270,160.32,208.01,787.11
271,1960.4,163.13,1092.2
272,460.12,221.15,892.1
273,170.23,216.19,821.07
274,150.19,2130.2,789.11
275,130.22,887.1,698.07
276,170.25,362.15,715.16
277,110.13,1034.1,715.12
278,170.29,1033.1,646.11
279,120.12,546.09,635.04
280,230.13,395.99,924.25
281,330.19,1024.1,1038.2
282,240.26,557.99,1405.1
283,190.18,678.18,1010.1
284,200.04,393.15,551.09
285,780.01,330.16,567.99
286,1460.1,282.12,636.14
287,870.23,250.1,376.11
288,120.1,148.08,364.15
289,180.41,209.02,463.23
290,130.08,147.16,570.09
291,180.41,185.98,713.03
292,140.23,179.07,955.01
293,170.29,167.17,896.12
294,130.1,225.09,826.11
295,2160.1,1594.1,1533.1
296,490.02,460.1,916.11
297,200.21,895.14,1051.1
298,130.22,281,1654.1
299,180.26,352.2,1595.1
300,120.12,358.29,727.09
301,190.18,226.05,683.17
302,130.24,439.05,681.18
303,670.01,481.03,673.22
304,440.17,469.86,1103.1
305,730.14,700.19,781.13
306,290.1,385.13,976.08
307,720.11,450.06,1469.1
308,460.06,321.1,1377.2
