,capex,lifetime,wacc,opex_fix,opex_var
wind,1250,20,0.038,40,0
pv,750,25,0.028,30,0
storage,400,10,0.028,10,0
biogas_bhkw,650,20,0.028,20,0
grid,0,0,0,0,0.3
sc,0,0,0,0,0.0
fit,0,0,0,0,0.0
